,Z,S,K,l,b,Q_t_hat,d_ijk
42,290970101001021,1,2,11170.50309,0.0,3.9992135144737746e-05,11.790216193636782
43,290970101001021,1,3,3231.272941,0.0,4.020001876162961e-05,7.381150344905898
44,290970101001022,1,0,18383.8,6.0,4.003769160410072e-05,10.422245983752044
45,290970101001022,1,1,18374.34946,0.0,4.020184430822338e-05,10.4190231253036
46,290970101001022,1,2,12120.99342,0.0,4.010380102220314e-05,8.162457365140822
47,290970101001022,1,3,3506.219705,0.0,4.02187840289507e-05,5.110027161730937
48,290970101001023,1,0,13681.6,11.0,4.023523266337501e-05,19.014522851015418
49,290970101001023,1,1,13674.56671,0.0,4.01963895283363e-05,19.008643009211227
50,290970101001023,1,2,9020.69124,0.0,3.949850547401633e-05,14.891726059237875
51,290970101001023,1,3,2609.400424,0.0,4.0138338718740015e-05,9.322820473339949
52,290970101001024,1,0,20950.8,9.0,4.0080559898226485e-05,27.020637735653448
53,290970101001024,1,1,20940.02984,0.0,4.00128710300482e-05,27.0122821727467
54,290970101001024,1,2,13813.49389,0.0,4.0077893449345285e-05,21.16192650365337
55,290970101001024,1,3,3995.806515,0.0,4.0172503193529536e-05,13.24821856804396
56,290970101001025,1,0,20835.2,7.0,4.025840233269496e-05,19.30045552546675
57,290970101001025,1,1,20824.48927,0.0,4.005789620493798e-05,19.294487268257225
58,290970101001025,1,2,13737.27533,0.0,4.021844465336858e-05,15.11566179083976
59,290970101001025,1,3,3973.758897,0.0,4.017100914278027e-05,9.463013262836977
60,290970101001026,1,0,18162.8,12.0,4.0159208932702044e-05,30.880728840746798
61,290970101001026,1,1,18153.46306,0.0,4.02316869675387e-05,30.871179621089414
62,290970101001026,1,2,11975.28146,0.0,4.0123098936136426e-05,24.18505886062023
63,290970101001026,1,3,3464.069848,0.0,4.025151577347443e-05,15.140821220660088
64,290970101001027,1,0,24857.4,8.0,4.022232465067013e-05,33.775797169566815
65,290970101001027,1,1,24844.62158,0.0,4.0265529254995964e-05,33.7653527180188
66,290970101001027,1,2,16389.23302,0.0,3.97970455733958e-05,26.45240813526709
67,290970101001027,1,3,4740.886308,0.0,4.019855921856495e-05,16.56027320989656
68,290970101001028,1,0,19801.6,8.0,4.02269285296174e-05,12.866970350311167
69,290970101001028,1,1,19791.42061,0.0,4.0135606830838916e-05,12.862991511508039
70,290970101001028,1,2,13055.7917,0.0,4.023426464800464e-05,10.07710786164935
71,290970101001028,1,3,3776.627254,0.0,3.997857376701278e-05,6.3086755083409525
72,290970101001029,1,0,16524.0,4.0,4.000711007472947e-05,3.8600911050933497
73,290970101001029,1,1,16515.50552,0.0,4.012356187372145e-05,3.8588974530634217
74,290970101001029,1,2,10894.77123,0.0,4.0221208259979906e-05,3.0231323580090788
75,290970101001029,1,3,3151.512441,0.0,4.0275911598012486e-05,1.8926026525464223
76,290970101001030,1,0,17108.8,12.0,4.0252639591663906e-05,27.939707046389945
77,290970101001030,1,1,17100.00489,0.0,4.0227195163678105e-05,27.93106727704399
78,290970101001030,1,2,11280.34749,0.0,4.025788326388497e-05,21.881719918480666
79,290970101001030,1,3,3263.047449,0.0,4.025007133805086e-05,13.698838246817795
80,290970101001031,1,0,14552.0,8.0,4.02516636292748e-05,8.234861024199146
