,Z,S,K,K',Sc
3745,290970102003001,1,0,1,7775.915
3746,290970102003001,1,0,2,9772.71
3747,290970102003001,1,0,3,17541.81
3749,290970102003001,1,1,1,0.0
3750,290970102003001,1,1,2,9772.71
3751,290970102003001,1,1,3,17541.81
3754,290970102003001,1,2,2,0.0
3755,290970102003001,1,2,3,17541.81
3759,290970102003001,1,3,3,0.0
3760,290970102003002,1,0,0,0.0
3761,290970102003002,1,0,1,4441.913
3762,290970102003002,1,0,2,5582.562
3763,290970102003002,1,0,3,10020.582
3765,290970102003002,1,1,1,0.0
3766,290970102003002,1,1,2,5582.562
3767,290970102003002,1,1,3,10020.582
3770,290970102003002,1,2,2,0.0
3771,290970102003002,1,2,3,10020.582
3775,290970102003002,1,3,3,0.0
3776,290970102003003,1,0,0,0.0
3777,290970102003003,1,0,1,4505.809
3778,290970102003003,1,0,2,5662.866
3779,290970102003003,1,0,3,10164.726
3781,290970102003003,1,1,1,0.0
3782,290970102003003,1,1,2,5662.866
3783,290970102003003,1,1,3,10164.726
3786,290970102003003,1,2,2,0.0
3787,290970102003003,1,2,3,10164.726
3791,290970102003003,1,3,3,0.0
3792,290970102003004,1,0,0,0.0
3793,290970102003004,1,0,1,24730.034
3794,290970102003004,1,0,2,31080.516
3795,290970102003004,1,0,3,55788.876
3797,290970102003004,1,1,1,0.0
3798,290970102003004,1,1,2,31080.516
3799,290970102003004,1,1,3,55788.876
3802,290970102003004,1,2,2,0.0
3803,290970102003004,1,2,3,55788.876
3807,290970102003004,1,3,3,0.0
3808,290970102003006,1,0,0,0.0
3809,290970102003006,1,0,1,5132.218
3810,290970102003006,1,0,2,6450.132
3811,290970102003006,1,0,3,11577.852
3813,290970102003006,1,1,1,0.0
3814,290970102003006,1,1,2,6450.132
3815,290970102003006,1,1,3,11577.852
3818,290970102003006,1,2,2,0.0
3819,290970102003006,1,2,3,11577.852
3823,290970102003006,1,3,3,0.0
3824,290970102003007,1,0,0,0.0
3825,290970102003007,1,0,1,5916.6555
3826,290970102003007,1,0,2,7436.007
3827,290970102003007,1,0,3,13347.477
3829,290970102003007,1,1,1,0.0
3830,290970102003007,1,1,2,7436.007
3831,290970102003007,1,1,3,13347.477
3834,290970102003007,1,2,2,0.0
3835,290970102003007,1,2,3,13347.477
3839,290970102003007,1,3,3,0.0
3840,290970102003008,1,0,0,0.0
3841,290970102003008,1,0,1,5097.4175
3842,290970102003008,1,0,2,6406.395
3843,290970102003008,1,0,3,11499.345
3845,290970102003008,1,1,1,0.0
3846,290970102003008,1,1,2,6406.395
3847,290970102003008,1,1,3,11499.345
3850,290970102003008,1,2,2,0.0
3851,290970102003008,1,2,3,11499.345
3855,290970102003008,1,3,3,0.0
3856,290970102003009,1,0,0,0.0
3857,290970102003009,1,0,1,4621.05
3858,290970102003009,1,0,2,5807.7
3859,290970102003009,1,0,3,10424.7
3861,290970102003009,1,1,1,0.0
3862,290970102003009,1,1,2,5807.7
3863,290970102003009,1,1,3,10424.7
3866,290970102003009,1,2,2,0.0
3867,290970102003009,1,2,3,10424.7
3871,290970102003009,1,3,3,0.0
3872,290970102003010,1,0,0,0.0
3873,290970102003010,1,0,1,4957.645
3874,290970102003010,1,0,2,6230.73
3875,290970102003010,1,0,3,11184.03
3877,290970102003010,1,1,1,0.0
3878,290970102003010,1,1,2,6230.73
3879,290970102003010,1,1,3,11184.03
3882,290970102003010,1,2,2,0.0
3883,290970102003010,1,2,3,11184.03
3887,290970102003010,1,3,3,0.0
3888,290970102003011,1,0,0,0.0
3889,290970102003011,1,0,1,4430.503
3890,290970102003011,1,0,2,5568.222
3891,290970102003011,1,0,3,9994.842
3893,290970102003011,1,1,1,0.0
3894,290970102003011,1,1,2,5568.222
3895,290970102003011,1,1,3,9994.842
3898,290970102003011,1,2,2,0.0
3899,290970102003011,1,2,3,9994.842
3903,290970102003011,1,3,3,0.0
3904,290970102003012,1,0,0,0.0
3905,290970102003012,1,0,1,5024.964
3906,290970102003012,1,0,2,6315.336
3907,290970102003012,1,0,3,11335.896
3909,290970102003012,1,1,1,0.0
3910,290970102003012,1,1,2,6315.336
3911,290970102003012,1,1,3,11335.896
3914,290970102003012,1,2,2,0.0
3915,290970102003012,1,2,3,11335.896
3919,290970102003012,1,3,3,0.0
3920,290970102003013,1,0,0,0.0
3921,290970102003013,1,0,1,4299.8585
3922,290970102003013,1,0,2,5404.029
3923,290970102003013,1,0,3,9700.119
3925,290970102003013,1,1,1,0.0
3926,290970102003013,1,1,2,5404.029
3927,290970102003013,1,1,3,9700.119
3930,290970102003013,1,2,2,0.0
3931,290970102003013,1,2,3,9700.119
3935,290970102003013,1,3,3,0.0
3936,290970102003014,1,0,0,0.0
3937,290970102003014,1,0,1,6691.965
3938,290970102003014,1,0,2,8410.41
3939,290970102003014,1,0,3,15096.51
3941,290970102003014,1,1,1,0.0
3942,290970102003014,1,1,2,8410.41
3943,290970102003014,1,1,3,15096.51
3946,290970102003014,1,2,2,0.0
3947,290970102003014,1,2,3,15096.51
3951,290970102003014,1,3,3,0.0
3952,290970102003015,1,0,0,0.0
3953,290970102003015,1,0,1,6880.23
3954,290970102003015,1,0,2,8647.02
3955,290970102003015,1,0,3,15521.22
3957,290970102003015,1,1,1,0.0
3958,290970102003015,1,1,2,8647.02
3959,290970102003015,1,1,3,15521.22
3962,290970102003015,1,2,2,0.0
3963,290970102003015,1,2,3,15521.22
3967,290970102003015,1,3,3,0.0
3968,290970102003016,1,0,0,0.0
3969,290970102003016,1,0,1,4575.41
3970,290970102003016,1,0,2,5750.34
3971,290970102003016,1,0,3,10321.74
3973,290970102003016,1,1,1,0.0
3974,290970102003016,1,1,2,5750.34
3975,290970102003016,1,1,3,10321.74
3978,290970102003016,1,2,2,0.0
3979,290970102003016,1,2,3,10321.74
3983,290970102003016,1,3,3,0.0
3984,290970102004000,1,0,0,0.0
3985,290970102004000,1,0,1,6747.874
3986,290970102004000,1,0,2,8480.676
3987,290970102004000,1,0,3,15222.636
3989,290970102004000,1,1,1,0.0
3990,290970102004000,1,1,2,8480.676
3991,290970102004000,1,1,3,15222.636
3994,290970102004000,1,2,2,0.0
3995,290970102004000,1,2,3,15222.636
3999,290970102004000,1,3,3,0.0
4000,290970102004001,1,0,0,0.0
4001,290970102004001,1,0,1,4011.756
4002,290970102004001,1,0,2,5041.944
4003,290970102004001,1,0,3,9050.184
4005,290970102004001,1,1,1,0.0
4006,290970102004001,1,1,2,5041.944
4007,290970102004001,1,1,3,9050.184
4010,290970102004001,1,2,2,0.0
4011,290970102004001,1,2,3,9050.184
4015,290970102004001,1,3,3,0.0
4016,290970102004002,1,0,0,0.0
4017,290970102004002,1,0,1,4740.855
4018,290970102004002,1,0,2,5958.27
4019,290970102004002,1,0,3,10694.97
4021,290970102004002,1,1,1,0.0
4022,290970102004002,1,1,2,5958.27
4023,290970102004002,1,1,3,10694.97
4026,290970102004002,1,2,2,0.0
4027,290970102004002,1,2,3,10694.97
4031,290970102004002,1,3,3,0.0
4032,290970102004003,1,0,0,0.0
4033,290970102004003,1,0,1,5189.268
4034,290970102004003,1,0,2,6521.832
4035,290970102004003,1,0,3,11706.552
4037,290970102004003,1,1,1,0.0
4038,290970102004003,1,1,2,6521.832
4039,290970102004003,1,1,3,11706.552
4042,290970102004003,1,2,2,0.0
4043,290970102004003,1,2,3,11706.552
4047,290970102004003,1,3,3,0.0
4048,290970102004004,1,0,0,0.0
4049,290970102004004,1,0,1,3231.312
4050,290970102004004,1,0,2,4061.088
4051,290970102004004,1,0,3,7289.568
4053,290970102004004,1,1,1,0.0
4054,290970102004004,1,1,2,4061.088
4055,290970102004004,1,1,3,7289.568
4058,290970102004004,1,2,2,0.0
4059,290970102004004,1,2,3,7289.568
4063,290970102004004,1,3,3,0.0
4064,290970102004005,1,0,0,0.0
4065,290970102004005,1,0,1,6043.877
4066,290970102004005,1,0,2,7595.898
4067,290970102004005,1,0,3,13634.478
4069,290970102004005,1,1,1,0.0
4070,290970102004005,1,1,2,7595.898
4071,290970102004005,1,1,3,13634.478
4074,290970102004005,1,2,2,0.0
4075,290970102004005,1,2,3,13634.478
4079,290970102004005,1,3,3,0.0
4080,290970102004006,1,0,0,0.0
4081,290970102004006,1,0,1,5091.142
4082,290970102004006,1,0,2,6398.508
4083,290970102004006,1,0,3,11485.188
4085,290970102004006,1,1,1,0.0
4086,290970102004006,1,1,2,6398.508
4087,290970102004006,1,1,3,11485.188
4090,290970102004006,1,2,2,0.0
4091,290970102004006,1,2,3,11485.188
4095,290970102004006,1,3,3,0.0
4096,290970102004007,1,0,0,0.0
4097,290970102004007,1,0,1,6410.7085
4098,290970102004007,1,0,2,8056.929
4099,290970102004007,1,0,3,14462.019
4101,290970102004007,1,1,1,0.0
4102,290970102004007,1,1,2,8056.929
4103,290970102004007,1,1,3,14462.019
4106,290970102004007,1,2,2,0.0
4107,290970102004007,1,2,3,14462.019
4111,290970102004007,1,3,3,0.0
4112,290970102004009,1,0,0,0.0
4113,290970102004009,1,0,1,5039.797
4114,290970102004009,1,0,2,6333.978
4115,290970102004009,1,0,3,11369.358
4117,290970102004009,1,1,1,0.0
4118,290970102004009,1,1,2,6333.978
4119,290970102004009,1,1,3,11369.358
4122,290970102004009,1,2,2,0.0
4123,290970102004009,1,2,3,11369.358
4127,290970102004009,1,3,3,0.0
4128,290970102004010,1,0,0,0.0
4129,290970102004010,1,0,1,5718.692
4130,290970102004010,1,0,2,7187.208
4131,290970102004010,1,0,3,12900.888
4133,290970102004010,1,1,1,0.0
4134,290970102004010,1,1,2,7187.208
4135,290970102004010,1,1,3,12900.888
4138,290970102004010,1,2,2,0.0
4139,290970102004010,1,2,3,12900.888
4143,290970102004010,1,3,3,0.0
4144,290970102004011,1,0,0,0.0
4145,290970102004011,1,0,1,5613.1495
4146,290970102004011,1,0,2,7054.563
4147,290970102004011,1,0,3,12662.793
4149,290970102004011,1,1,1,0.0
4150,290970102004011,1,1,2,7054.563
4151,290970102004011,1,1,3,12662.793
4154,290970102004011,1,2,2,0.0
4155,290970102004011,1,2,3,12662.793
4159,290970102004011,1,3,3,0.0
4160,290970102004012,1,0,0,0.0
4161,290970102004012,1,0,1,4247.943
4162,290970102004012,1,0,2,5338.782
4163,290970102004012,1,0,3,9583.002
4165,290970102004012,1,1,1,0.0
4166,290970102004012,1,1,2,5338.782
4167,290970102004012,1,1,3,9583.002
4170,290970102004012,1,2,2,0.0
4171,290970102004012,1,2,3,9583.002
4175,290970102004012,1,3,3,0.0
4176,290970102004013,1,0,0,0.0
4177,290970102004013,1,0,1,5734.666
4178,290970102004013,1,0,2,7207.284
4179,290970102004013,1,0,3,12936.924
4181,290970102004013,1,1,1,0.0
4182,290970102004013,1,1,2,7207.284
4183,290970102004013,1,1,3,12936.924
4186,290970102004013,1,2,2,0.0
4187,290970102004013,1,2,3,12936.924
4191,290970102004013,1,3,3,0.0
4192,290970102004014,1,0,0,0.0
4193,290970102004014,1,0,1,5990.8205
4194,290970102004014,1,0,2,7529.217
4195,290970102004014,1,0,3,13514.787
4197,290970102004014,1,1,1,0.0
4198,290970102004014,1,1,2,7529.217
4199,290970102004014,1,1,3,13514.787
4202,290970102004014,1,2,2,0.0
4203,290970102004014,1,2,3,13514.787
4207,290970102004014,1,3,3,0.0
4208,290970102004015,1,0,0,0.0
4209,290970102004015,1,0,1,6835.731
4210,290970102004015,1,0,2,8591.094
4211,290970102004015,1,0,3,15420.834
4213,290970102004015,1,1,1,0.0
4214,290970102004015,1,1,2,8591.094
4215,290970102004015,1,1,3,15420.834
4218,290970102004015,1,2,2,0.0
4219,290970102004015,1,2,3,15420.834
4223,290970102004015,1,3,3,0.0
4224,290970102004016,1,0,0,0.0
4225,290970102004016,1,0,1,7337.771
4226,290970102004016,1,0,2,9222.054
4227,290970102004016,1,0,3,16553.394
4229,290970102004016,1,1,1,0.0
4230,290970102004016,1,1,2,9222.054
4231,290970102004016,1,1,3,16553.394
4234,290970102004016,1,2,2,0.0
4235,290970102004016,1,2,3,16553.394
4239,290970102004016,1,3,3,0.0
4240,290970102004017,1,0,0,0.0
4241,290970102004017,1,0,1,4191.4635
4242,290970102004017,1,0,2,5267.799
4243,290970102004017,1,0,3,9455.589
4245,290970102004017,1,1,1,0.0
4246,290970102004017,1,1,2,5267.799
4247,290970102004017,1,1,3,9455.589
4250,290970102004017,1,2,2,0.0
4251,290970102004017,1,2,3,9455.589
4255,290970102004017,1,3,3,0.0
4256,290970102004018,1,0,0,0.0
4257,290970102004018,1,0,1,5364.982
4258,290970102004018,1,0,2,6742.668
4259,290970102004018,1,0,3,12102.948
4261,290970102004018,1,1,1,0.0
4262,290970102004018,1,1,2,6742.668
4263,290970102004018,1,1,3,12102.948
4266,290970102004018,1,2,2,0.0
4267,290970102004018,1,2,3,12102.948
4271,290970102004018,1,3,3,0.0
4272,290970102004019,1,0,0,0.0
4273,290970102004019,1,0,1,7354.886
4274,290970102004019,1,0,2,9243.564
4275,290970102004019,1,0,3,16592.004
4277,290970102004019,1,1,1,0.0
4278,290970102004019,1,1,2,9243.564
4279,290970102004019,1,1,3,16592.004
4282,290970102004019,1,2,2,0.0
4283,290970102004019,1,2,3,16592.004
4287,290970102004019,1,3,3,0.0
4288,290970102004020,1,0,0,0.0
4289,290970102004020,1,0,1,4883.48
4290,290970102004020,1,0,2,6137.52
4291,290970102004020,1,0,3,11016.72
4293,290970102004020,1,1,1,0.0
4294,290970102004020,1,1,2,6137.52
4295,290970102004020,1,1,3,11016.72
4298,290970102004020,1,2,2,0.0
4299,290970102004020,1,2,3,11016.72
4303,290970102004020,1,3,3,0.0
4304,290970102004021,1,0,0,0.0
4305,290970102004021,1,0,1,3918.194
4306,290970102004021,1,0,2,4924.356
4307,290970102004021,1,0,3,8839.116
4309,290970102004021,1,1,1,0.0
4310,290970102004021,1,1,2,4924.356
4311,290970102004021,1,1,3,8839.116
4314,290970102004021,1,2,2,0.0
4315,290970102004021,1,2,3,8839.116
4319,290970102004021,1,3,3,0.0
4320,290970102004022,1,0,0,0.0
4321,290970102004022,1,0,1,5447.134
4322,290970102004022,1,0,2,6845.916
4323,290970102004022,1,0,3,12288.276
4325,290970102004022,1,1,1,0.0
4326,290970102004022,1,1,2,6845.916
4327,290970102004022,1,1,3,12288.276
4330,290970102004022,1,2,2,0.0
4331,290970102004022,1,2,3,12288.276
4335,290970102004022,1,3,3,0.0
4336,290970102004023,1,0,0,0.0
4337,290970102004023,1,0,1,4529.77
4338,290970102004023,1,0,2,5692.98
4339,290970102004023,1,0,3,10218.78
4341,290970102004023,1,1,1,0.0
4342,290970102004023,1,1,2,5692.98
4343,290970102004023,1,1,3,10218.78
4346,290970102004023,1,2,2,0.0
4347,290970102004023,1,2,3,10218.78
4351,290970102004023,1,3,3,0.0
4352,290970102004024,1,0,0,0.0
4353,290970102004024,1,0,1,4479.566
4354,290970102004024,1,0,2,5629.884
4355,290970102004024,1,0,3,10105.524
4357,290970102004024,1,1,1,0.0
4358,290970102004024,1,1,2,5629.884
4359,290970102004024,1,1,3,10105.524
4362,290970102004024,1,2,2,0.0
4363,290970102004024,1,2,3,10105.524
4367,290970102004024,1,3,3,0.0
4368,290970102004025,1,0,0,0.0
4369,290970102004025,1,0,1,4698.638
4370,290970102004025,1,0,2,5905.212
4371,290970102004025,1,0,3,10599.732
4373,290970102004025,1,1,1,0.0
4374,290970102004025,1,1,2,5905.212
4375,290970102004025,1,1,3,10599.732
4378,290970102004025,1,2,2,0.0
4379,290970102004025,1,2,3,10599.732
4383,290970102004025,1,3,3,0.0
4384,290970102004026,1,0,0,0.0
4385,290970102004026,1,0,1,4980.465
4386,290970102004026,1,0,2,6259.41
4387,290970102004026,1,0,3,11235.51
4389,290970102004026,1,1,1,0.0
4390,290970102004026,1,1,2,6259.41
4391,290970102004026,1,1,3,11235.51
4394,290970102004026,1,2,2,0.0
4395,290970102004026,1,2,3,11235.51
4399,290970102004026,1,3,3,0.0
4400,290970102004027,1,0,0,0.0
4401,290970102004027,1,0,1,4566.282
4402,290970102004027,1,0,2,5738.868
4403,290970102004027,1,0,3,10301.148
4405,290970102004027,1,1,1,0.0
4406,290970102004027,1,1,2,5738.868
4407,290970102004027,1,1,3,10301.148
4410,290970102004027,1,2,2,0.0
4411,290970102004027,1,2,3,10301.148
4415,290970102004027,1,3,3,0.0
4416,290970103001027,1,0,0,0.0
4417,290970103001027,1,0,1,8580.32
4418,290970103001027,1,0,2,10783.68
4419,290970103001027,1,0,3,19356.48
4421,290970103001027,1,1,1,0.0
4422,290970103001027,1,1,2,10783.68
4423,290970103001027,1,1,3,19356.48
4426,290970103001027,1,2,2,0.0
4427,290970103001027,1,2,3,19356.48
4431,290970103001027,1,3,3,0.0
4432,290970103001028,1,0,0,0.0
4433,290970103001028,1,0,1,3055.598
4434,290970103001028,1,0,2,3840.252
4435,290970103001028,1,0,3,6893.172
4437,290970103001028,1,1,1,0.0
4438,290970103001028,1,1,2,3840.252
4439,290970103001028,1,1,3,6893.172
4442,290970103001028,1,2,2,0.0
4443,290970103001028,1,2,3,6893.172
4447,290970103001028,1,3,3,0.0
4448,290970103001031,1,0,0,0.0
4449,290970103001031,1,0,1,8640.2225
4450,290970103001031,1,0,2,10858.965
4451,290970103001031,1,0,3,19491.615
4453,290970103001031,1,1,1,0.0
4454,290970103001031,1,1,2,10858.965
4455,290970103001031,1,1,3,19491.615
4458,290970103001031,1,2,2,0.0
4459,290970103001031,1,2,3,19491.615
4463,290970103001031,1,3,3,0.0
4464,290970103001034,1,0,0,0.0
4465,290970103001034,1,0,1,9086.924
4466,290970103001034,1,0,2,11420.376
4467,290970103001034,1,0,3,20499.336
4469,290970103001034,1,1,1,0.0
4470,290970103001034,1,1,2,11420.376
4471,290970103001034,1,1,3,20499.336
4474,290970103001034,1,2,2,0.0
4475,290970103001034,1,2,3,20499.336
4479,290970103001034,1,3,3,0.0
4480,290970103001035,1,0,0,0.0
4481,290970103001035,1,0,1,3435.551
4482,290970103001035,1,0,2,4317.774
4483,290970103001035,1,0,3,7750.314
4485,290970103001035,1,1,1,0.0
4486,290970103001035,1,1,2,4317.774
4487,290970103001035,1,1,3,7750.314
4490,290970103001035,1,2,2,0.0
4491,290970103001035,1,2,3,7750.314
4495,290970103001035,1,3,3,0.0
4496,290970103001053,1,0,0,0.0
4497,290970103001053,1,0,1,12399.247
4498,290970103001053,1,0,2,15583.278
4499,290970103001053,1,0,3,27971.658
4501,290970103001053,1,1,1,0.0
4502,290970103001053,1,1,2,15583.278
4503,290970103001053,1,1,3,27971.658
4506,290970103001053,1,2,2,0.0
4507,290970103001053,1,2,3,27971.658
4511,290970103001053,1,3,3,0.0
4512,290970103001054,1,0,0,0.0
4513,290970103001054,1,0,1,14231.1225
4514,290970103001054,1,0,2,17885.565
4515,290970103001054,1,0,3,32104.215
4517,290970103001054,1,1,1,0.0
4518,290970103001054,1,1,2,17885.565
4519,290970103001054,1,1,3,32104.215
4522,290970103001054,1,2,2,0.0
4523,290970103001054,1,2,3,32104.215
4527,290970103001054,1,3,3,0.0
4528,290970103001064,1,0,0,0.0
4529,290970103001064,1,0,1,115999.765
4530,290970103001064,1,0,2,145787.61
4531,290970103001064,1,0,3,261685.71
4533,290970103001064,1,1,1,0.0
4534,290970103001064,1,1,2,145787.61
4535,290970103001064,1,1,3,261685.71
4538,290970103001064,1,2,2,0.0
4539,290970103001064,1,2,3,261685.71
4543,290970103001064,1,3,3,0.0
4544,290970103001066,1,0,0,0.0
4545,290970103001066,1,0,1,10728.823
4546,290970103001066,1,0,2,13483.902
4547,290970103001066,1,0,3,24203.322
4549,290970103001066,1,1,1,0.0
4550,290970103001066,1,1,2,13483.902
4551,290970103001066,1,1,3,24203.322
4554,290970103001066,1,2,2,0.0
4555,290970103001066,1,2,3,24203.322
4559,290970103001066,1,3,3,0.0
4560,290970103001069,1,0,0,0.0
4561,290970103001069,1,0,1,10323.768
4562,290970103001069,1,0,2,12974.832
4563,290970103001069,1,0,3,23289.552
4565,290970103001069,1,1,1,0.0
4566,290970103001069,1,1,2,12974.832
4567,290970103001069,1,1,3,23289.552
4570,290970103001069,1,2,2,0.0
4571,290970103001069,1,2,3,23289.552
4575,290970103001069,1,3,3,0.0
4576,290970103002008,1,0,0,0.0
4577,290970103002008,1,0,1,10789.296
4578,290970103002008,1,0,2,13559.904
4579,290970103002008,1,0,3,24339.744
4581,290970103002008,1,1,1,0.0
4582,290970103002008,1,1,2,13559.904
4583,290970103002008,1,1,3,24339.744
4586,290970103002008,1,2,2,0.0
4587,290970103002008,1,2,3,24339.744
4591,290970103002008,1,3,3,0.0
4592,290970103002009,1,0,0,0.0
4593,290970103002009,1,0,1,12982.298
4594,290970103002009,1,0,2,16316.052
4595,290970103002009,1,0,3,29286.972
4597,290970103002009,1,1,1,0.0
4598,290970103002009,1,1,2,16316.052
4599,290970103002009,1,1,3,29286.972
4602,290970103002009,1,2,2,0.0
4603,290970103002009,1,2,3,29286.972
4607,290970103002009,1,3,3,0.0
4608,290970103002014,1,0,0,0.0
4609,290970103002014,1,0,1,19047.854
4610,290970103002014,1,0,2,23939.196
4611,290970103002014,1,0,3,42970.356
4613,290970103002014,1,1,1,0.0
4614,290970103002014,1,1,2,23939.196
4615,290970103002014,1,1,3,42970.356
4618,290970103002014,1,2,2,0.0
4619,290970103002014,1,2,3,42970.356
4623,290970103002014,1,3,3,0.0
4624,290970103002015,1,0,0,0.0
4625,290970103002015,1,0,1,13699.4165
4626,290970103002015,1,0,2,17217.321
4627,290970103002015,1,0,3,30904.731
4629,290970103002015,1,1,1,0.0
4630,290970103002015,1,1,2,17217.321
4631,290970103002015,1,1,3,30904.731
4634,290970103002015,1,2,2,0.0
4635,290970103002015,1,2,3,30904.731
4639,290970103002015,1,3,3,0.0
4640,290970103002016,1,0,0,0.0
4641,290970103002016,1,0,1,10348.2995
4642,290970103002016,1,0,2,13005.663
4643,290970103002016,1,0,3,23344.893
4645,290970103002016,1,1,1,0.0
4646,290970103002016,1,1,2,13005.663
4647,290970103002016,1,1,3,23344.893
4650,290970103002016,1,2,2,0.0
4651,290970103002016,1,2,3,23344.893
4655,290970103002016,1,3,3,0.0
4656,290970103002017,1,0,0,0.0
4657,290970103002017,1,0,1,10817.821
4658,290970103002017,1,0,2,13595.754
4659,290970103002017,1,0,3,24404.094
4661,290970103002017,1,1,1,0.0
4662,290970103002017,1,1,2,13595.754
4663,290970103002017,1,1,3,24404.094
4666,290970103002017,1,2,2,0.0
4667,290970103002017,1,2,3,24404.094
4671,290970103002017,1,3,3,0.0
4672,290970103002018,1,0,0,0.0
4673,290970103002018,1,0,1,12316.5245
4674,290970103002018,1,0,2,15479.313
4675,290970103002018,1,0,3,27785.043
4677,290970103002018,1,1,1,0.0
4678,290970103002018,1,1,2,15479.313
4679,290970103002018,1,1,3,27785.043
4682,290970103002018,1,2,2,0.0
4683,290970103002018,1,2,3,27785.043
4687,290970103002018,1,3,3,0.0
4688,290970103002019,1,0,0,0.0
4689,290970103002019,1,0,1,10446.996
4690,290970103002019,1,0,2,13129.704
4691,290970103002019,1,0,3,23567.544
4693,290970103002019,1,1,1,0.0
4694,290970103002019,1,1,2,13129.704
4695,290970103002019,1,1,3,23567.544
4698,290970103002019,1,2,2,0.0
4699,290970103002019,1,2,3,23567.544
4703,290970103002019,1,3,3,0.0
4704,290970103002020,1,0,0,0.0
4705,290970103002020,1,0,1,12958.337
4706,290970103002020,1,0,2,16285.938
4707,290970103002020,1,0,3,29232.918
4709,290970103002020,1,1,1,0.0
4710,290970103002020,1,1,2,16285.938
4711,290970103002020,1,1,3,29232.918
4714,290970103002020,1,2,2,0.0
4715,290970103002020,1,2,3,29232.918
4719,290970103002020,1,3,3,0.0
4720,290970103002021,1,0,0,0.0
4721,290970103002021,1,0,1,11857.272
4722,290970103002021,1,0,2,14902.128
4723,290970103002021,1,0,3,26749.008
4725,290970103002021,1,1,1,0.0
4726,290970103002021,1,1,2,14902.128
4727,290970103002021,1,1,3,26749.008
4730,290970103002021,1,2,2,0.0
4731,290970103002021,1,2,3,26749.008
4735,290970103002021,1,3,3,0.0
4736,290970103002022,1,0,0,0.0
4737,290970103002022,1,0,1,18526.417
4738,290970103002022,1,0,2,23283.858
4739,290970103002022,1,0,3,41794.038
4741,290970103002022,1,1,1,0.0
4742,290970103002022,1,1,2,23283.858
4743,290970103002022,1,1,3,41794.038
4746,290970103002022,1,2,2,0.0
4747,290970103002022,1,2,3,41794.038
4751,290970103002022,1,3,3,0.0
4752,290970103002023,1,0,0,0.0
4753,290970103002023,1,0,1,14498.687
4754,290970103002023,1,0,2,18221.838
4755,290970103002023,1,0,3,32707.818
4757,290970103002023,1,1,1,0.0
4758,290970103002023,1,1,2,18221.838
4759,290970103002023,1,1,3,32707.818
4762,290970103002023,1,2,2,0.0
4763,290970103002023,1,2,3,32707.818
4767,290970103002023,1,3,3,0.0
4768,290970103002024,1,0,0,0.0
4769,290970103002024,1,0,1,13128.346
4770,290970103002024,1,0,2,16499.604
4771,290970103002024,1,0,3,29616.444
4773,290970103002024,1,1,1,0.0
4774,290970103002024,1,1,2,16499.604
4775,290970103002024,1,1,3,29616.444
4778,290970103002024,1,2,2,0.0
4779,290970103002024,1,2,3,29616.444
4783,290970103002024,1,3,3,0.0
4784,290970103002025,1,0,0,0.0
4785,290970103002025,1,0,1,13198.5175
4786,290970103002025,1,0,2,16587.795
4787,290970103002025,1,0,3,29774.745
4789,290970103002025,1,1,1,0.0
4790,290970103002025,1,1,2,16587.795
4791,290970103002025,1,1,3,29774.745
4794,290970103002025,1,2,2,0.0
4795,290970103002025,1,2,3,29774.745
4799,290970103002025,1,3,3,0.0
4800,290970103002026,1,0,0,0.0
4801,290970103002026,1,0,1,10489.213
4802,290970103002026,1,0,2,13182.762
4803,290970103002026,1,0,3,23662.782
4805,290970103002026,1,1,1,0.0
4806,290970103002026,1,1,2,13182.762
4807,290970103002026,1,1,3,23662.782
4810,290970103002026,1,2,2,0.0
4811,290970103002026,1,2,3,23662.782
4815,290970103002026,1,3,3,0.0
4816,290970103002027,1,0,0,0.0
4817,290970103002027,1,0,1,21442.813
4818,290970103002027,1,0,2,26949.162
4819,290970103002027,1,0,3,48373.182
4821,290970103002027,1,1,1,0.0
4822,290970103002027,1,1,2,26949.162
4823,290970103002027,1,1,3,48373.182
4826,290970103002027,1,2,2,0.0
4827,290970103002027,1,2,3,48373.182
4831,290970103002027,1,3,3,0.0
4832,290970103002028,1,0,0,0.0
4833,290970103002028,1,0,1,10593.044
4834,290970103002028,1,0,2,13313.256
4835,290970103002028,1,0,3,23897.016
4837,290970103002028,1,1,1,0.0
4838,290970103002028,1,1,2,13313.256
4839,290970103002028,1,1,3,23897.016
4842,290970103002028,1,2,2,0.0
4843,290970103002028,1,2,3,23897.016
4847,290970103002028,1,3,3,0.0
4848,290970103002029,1,0,0,0.0
4849,290970103002029,1,0,1,10848.628
4850,290970103002029,1,0,2,13634.472
4851,290970103002029,1,0,3,24473.592
4853,290970103002029,1,1,1,0.0
4854,290970103002029,1,1,2,13634.472
4855,290970103002029,1,1,3,24473.592
4858,290970103002029,1,2,2,0.0
4859,290970103002029,1,2,3,24473.592
4863,290970103002029,1,3,3,0.0
4864,290970103002030,1,0,0,0.0
4865,290970103002030,1,0,1,10664.3565
4866,290970103002030,1,0,2,13402.881
4867,290970103002030,1,0,3,24057.891
4869,290970103002030,1,1,1,0.0
4870,290970103002030,1,1,2,13402.881
4871,290970103002030,1,1,3,24057.891
4874,290970103002030,1,2,2,0.0
4875,290970103002030,1,2,3,24057.891
4879,290970103002030,1,3,3,0.0
4880,290970103002033,1,0,0,0.0
4881,290970103002033,1,0,1,239644.23
4882,290970103002033,1,0,2,301183.02
